code,name,industry,area,pe,outstanding,totals,timeToMarket
603336,N宏辉,农业综合,广东,29.85,0.33,1.33,20161124
002823,N凯中,机械基件,深圳,24.04,0.36,1.44,20161124
600545,新疆城建,建筑施工,新疆,0.0,6.76,6.76,20031203
002389,南洋科技,元器件,浙江,77.12,5.28,7.1,20100413
603901,永创智能,专用机械,浙江,75.35,1.54,4.0,20150529
603987,康德莱,医疗保健,上海,37.59,0.53,2.1,20161121
603003,龙宇燃油,石油贸易,上海,12974.89,2.02,4.41,20120817
000712,锦龙股份,多元金融,广东,60.1,8.3,8.96,19970415
300567,精测电子,电器仪表,湖北,41.61,0.2,0.8,20161122
601882,海天精工,机床制造,浙江,57.42,0.52,5.22,20161107
002639,雪人股份,专用机械,福建,509.65,3.75,6.74,20111205
000623,吉林敖东,中成药,吉林,17.83,8.07,8.94,19961028
300562,乐心医疗,医疗保健,广东,31.01,0.15,0.59,20161116
300366,创意信息,软件服务,四川,283.96,0.54,2.41,20140127
603727,博迈科,石油开采,天津,30.54,0.59,2.34,20161122
603299,井神股份,化工原料,江苏,2095.75,0.9,5.59,20151231
300561,汇金科技,软件服务,广东,42.78,0.14,0.56,20161117
300556,丝路视觉,软件服务,深圳,217.38,0.28,1.11,20161104
300304,云意电气,汽车配件,江苏,80.45,1.92,2.27,20120321
601900,南方传媒,出版业,广东,37.59,1.69,8.19,20160215
300563,神宇股份,通信设备,江苏,57.26,0.2,0.8,20161114
300558,贝达药业,化学制药,浙江,85.17,0.41,4.01,20161107
603203,快克股份,专用机械,江苏,74.7,0.23,0.92,20161108
300557,理工光科,电器仪表,湖北,271.08,0.14,0.56,20161101
300566,激智科技,元器件,浙江,56.56,0.2,0.8,20161115
300565,科信技术,通信设备,深圳,33.3,0.4,1.6,20161122
300491,通合科技,电气设备,河北,267.58,0.2,0.8,20151231
000975,银泰资源,铅锌,内蒙,81.65,8.79,10.82,20000608
000828,东莞控股,路桥,广东,16.01,10.4,10.4,19970617
603858,步长制药,中成药,山东,47.87,0.7,6.82,20161118
300560,中富通,通信设备,福建,135.4,0.18,0.7,20161101
002820,桂发祥,食品,天津,43.39,0.32,1.28,20161118
002821,凯莱英,生物制药,天津,28.89,0.23,1.13,20161118
603060,国检集团,建筑施工,北京,80.1,0.55,2.2,20161109
000595,宝塔实业,机械基件,宁夏,0.0,2.48,3.72,19960419
002819,东方中科,电器仪表,北京,62.37,0.28,1.13,20161111
300447,全信股份,电气设备,江苏,67.97,0.55,1.63,20150422
002110,三钢闽光,普钢,福建,23.4,5.35,13.74,20070126
603900,通灵珠宝,服饰,江苏,23.55,0.61,2.43,20161123
603977,国泰集团,化工原料,江西,42.67,0.55,2.21,20161111
601116,三江购物,超市连锁,浙江,74.79,4.02,4.11,20110302
600621,华鑫股份,全国地产,上海,43.57,5.24,5.24,19921202
603633,徕木股份,元器件,上海,37.07,0.3,1.2,20161117
600084,中葡股份,红黄药酒,新疆,0.0,9.98,11.24,19970711
002383,合众思壮,通信设备,北京,879.58,1.29,2.44,20100402
600881,亚泰集团,水泥,吉林,100.92,18.95,26.0,19951115
000609,绵石投资,区域地产,北京,33.6,2.66,2.98,19961010
600995,文山电力,水力发电,云南,32.56,4.79,4.79,20040615
600421,仰帆控股,机械基件,湖北,0.0,1.96,1.96,20040607
300338,开元仪器,电器仪表,湖南,695.92,1.68,2.52,20120726
600575,皖江物流,水运,安徽,43.78,14.23,39.08,20030328
600068,葛洲坝,建筑施工,湖北,14.84,41.49,46.05,19970526
000158,常山股份,纺织,河北,0.0,7.66,12.71,20000724
600281,太化股份,化工原料,山西,0.0,5.14,5.14,20001109
600148,长春一东,汽车配件,吉林,304.17,1.42,1.42,19980520
600626,申达股份,纺织,上海,49.01,7.1,7.1,19930107
603616,韩建河山,其他建材,北京,0.0,1.47,2.93,20150611
000908,景峰医药,化学制药,湖南,49.37,4.8,8.8,19990203
603519,立霸股份,家用电器,江苏,86.38,0.77,1.6,20150319
600739,辽宁成大,商贸代理,辽宁,30.17,13.65,15.3,19960819
300169,天晟新材,塑料,江苏,260.52,2.25,3.26,20110125
600085,同仁堂,中成药,北京,47.09,13.71,13.71,19970625
600295,鄂尔多斯,服饰,内蒙,48.85,6.12,10.32,20010426
002133,广宇集团,全国地产,浙江,33.52,6.02,7.74,20070427
300062,中能电气,电气设备,福建,77.19,0.83,1.54,20100319
002670,国盛金控,多元金融,广东,112.52,1.29,9.36,20120416
001979,招商蛇口,全国地产,深圳,19.85,17.66,79.04,20151230
600599,熊猫金控,多元金融,湖南,0.0,1.66,1.66,20010828
002620,瑞和股份,装修装饰,深圳,107.12,0.94,1.45,20110929
600887,伊利股份,乳制品,内蒙,19.58,60.33,60.65,19960312
000726,鲁 泰Ａ,纺织,山东,15.74,5.61,9.23,20001225
600490,鹏欣资源,铜,上海,203.39,14.79,14.79,20030626
000688,建新矿业,铅锌,重庆,65.66,11.37,11.37,19970120
603598,引力传媒,影视音像,北京,213.6,0.97,2.67,20150527
002064,华峰氨纶,化纤,浙江,0.0,15.13,16.77,20060823
600383,金地集团,全国地产,深圳,26.79,45.01,45.01,20010412
002805,丰元股份,化工原料,山东,282.48,0.24,0.97,20160707
600643,爱建集团,多元金融,上海,31.69,14.34,14.37,19930426
002682,龙洲股份,公路,福建,112.36,2.63,2.69,20120612
300317,珈伟股份,半导体,深圳,73.12,1.68,4.77,20120511
300248,新开普,软件服务,河南,189.71,1.71,3.12,20110729
300042,朗科科技,电脑设备,深圳,117.82,1.12,1.34,20100108
603998,方盛制药,中成药,湖南,105.02,2.69,4.33,20141205
300416,苏试试验,电器仪表,江苏,129.97,0.61,1.26,20150122
601099,太平洋,证券,云南,109.49,64.79,68.16,20071228
002723,金莱特,家用电器,广东,886.76,0.61,1.87,20140129
002809,红墙股份,化工原料,广东,115.74,0.2,0.8,20160823
002360,同德化工,化工原料,山西,79.82,2.44,3.92,20100303
000663,永安林业,林业,福建,496.78,1.89,3.41,19961206
002394,联发股份,纺织,江苏,20.16,3.24,3.24,20100423
002047,宝鹰股份,装修装饰,深圳,46.94,6.82,12.63,20050531
000685,中山公用,水务,广东,18.29,9.97,14.75,19970123
600353,旭光股份,元器件,四川,129.83,5.44,5.44,20021120
002120,新海股份,家居用品,浙江,102.69,0.98,1.5,20070306
002587,奥拓电子,元器件,深圳,76.77,2.4,3.78,20110610
000878,云南铜业,铜,云南,334.35,14.16,14.16,19980602
600131,岷江水电,水力发电,四川,30.18,3.97,5.04,19980402
600070,浙江富润,纺织,浙江,644.94,3.57,3.57,19970604
600500,中化国际,商贸代理,上海,80.46,17.23,20.83,20000301
603333,明星电缆,电气设备,四川,0.0,5.2,5.2,20120507
002582,好想你,食品,河南,566.54,0.98,2.58,20110520
600313,农发种业,种植业,北京,361.37,9.18,10.82,20010119
002404,嘉欣丝绸,纺织,浙江,56.98,3.99,5.21,20100511
603311,金海环境,专用机械,浙江,73.79,0.93,2.1,20150518
002042,华孚色纺,纺织,安徽,19.03,8.32,8.33,20050427
603608,天创时尚,服饰,广东,77.52,0.7,2.8,20160218
000652,泰达股份,批发业,天津,97.6,14.66,14.76,19961128
002679,福建金森,林业,福建,0.0,1.39,1.39,20120605
002050,三花智控,机械基件,浙江,21.34,15.17,18.01,20050607
000402,金 融 街,全国地产,北京,34.72,29.87,29.89,19960626
000850,华茂股份,纺织,安徽,76.22,9.43,9.44,19981007
000533,万 家 乐,家用电器,广东,399.41,6.85,6.91,19940103
002765,蓝黛传动,汽车配件,重庆,64.0,0.71,2.13,20150612
002314,南山控股,区域地产,深圳,27.93,7.38,18.78,20091203
600141,兴发集团,化工原料,湖北,82.34,4.8,5.12,19990616
600775,南京熊猫,通信设备,江苏,136.88,6.72,9.14,19961118
300242,明家联合,互联网,广东,56.6,2.77,6.37,20110712
600080,金花股份,中成药,陕西,123.3,3.05,3.05,19970612
601699,潞安环能,煤炭开采,山西,248.77,29.91,29.91,20060922
600618,氯碱化工,化工原料,上海,0.0,7.5,11.56,19921113
600328,兰太实业,化工原料,内蒙,77.33,3.59,4.38,20001222
002013,中航机电,航空,湖北,92.06,13.97,16.04,20040705
002202,金风科技,电气设备,新疆,17.18,21.58,27.36,20071226
300237,美晨科技,建筑施工,山东,40.3,3.47,8.07,20110629
600630,龙头股份,纺织,上海,78.25,4.25,4.25,19930209
002035,华帝股份,家用电器,广东,38.07,3.35,3.63,20040901
600166,福田汽车,汽车整车,北京,72.85,66.7,66.7,19980602
000776,广发证券,证券,广东,18.17,59.19,76.21,19970611
000929,兰州黄河,啤酒,甘肃,0.0,1.86,1.86,19990623
600104,上汽集团,汽车整车,上海,8.77,110.26,110.26,19971125
600568,中珠医疗,区域地产,湖北,86.41,5.07,7.12,20010518
603026,石大胜华,化工原料,山东,53.46,1.4,2.03,20150529
