code,name,industry,area,pe,outstanding,totals,timeToMarket
603888,N新华网,互联网,北京,38.61,5190.29,20761.16,20161028
601789,宁波建工,建筑施工,浙江,41.23,97608.0,97608.0,20110816
002124,天邦股份,饲料,浙江,18.39,30711.77,63667.98,20070403
000736,中房地产,全国地产,重庆,6555.85,29719.39,29719.39,19970425
601801,皖新传媒,出版业,安徽,37.29,182000.0,198920.45,20100118
300044,赛为智能,软件服务,深圳,94.3,23441.65,33512.01,20100120
002113,天润数娱,互联网,湖南,288.8,47345.33,75447.97,20070208
300426,唐德影视,影视音像,浙江,118.62,13025.41,40000.0,20150217
603800,道森股份,专用机械,江苏,0.0,5200.0,20800.0,20151210
603669,灵康药业,化学制药,西藏,65.55,8645.0,26000.0,20150528
603777,来伊份,其他商业,上海,118.44,6000.0,24000.0,20161012
601500,通用股份,汽车配件,江苏,85.3,17491.91,72691.9,20160919
002722,金轮股份,纺织机械,江苏,91.89,4574.16,17546.65,20140128
002817,黄山胶囊,化学制药,安徽,39.84,2167.0,8667.0,20161025
300549,优德精密,专用机械,江苏,137.06,1667.0,6667.0,20160930
300553,集智股份,电器仪表,浙江,49.59,1200.0,4800.0,20161021
300548,博创科技,元器件,浙江,63.51,2067.0,8267.0,20161012
601128,常熟银行,银行,江苏,23.85,22227.27,222272.8,20160930
002813,路畅科技,汽车配件,深圳,69.79,3000.0,12000.0,20161012
300546,雄帝科技,元器件,深圳,183.88,1334.0,5334.0,20160928
300545,联得装备,专用机械,深圳,231.18,1783.0,7130.58,20160928
300461,田中精机,专用机械,浙江,516.42,2357.5,6668.0,20150519
300555,路通视信,通信设备,江苏,77.19,2000.0,8000.0,20161018
603160,汇顶科技,元器件,深圳,48.24,4500.0,44500.0,20161017
603025,大豪科技,电脑设备,北京,76.2,5100.0,44700.0,20150422
603887,城地股份,建筑施工,上海,81.58,2460.0,9810.0,20161010
300552,万集科技,软件服务,北京,40.6,2670.0,10670.0,20161021
300550,和仁科技,软件服务,浙江,86.61,2000.0,8000.0,20161018
