date,open,high,close,low,volume,price_change,p_change,ma5,ma10,ma20,v_ma5,v_ma10,v_ma20,turnover
2016-10-28,6.26,6.27,6.11,6.1,291826.75,-0.16,-2.55,6.246,6.281,6.345,206743.98,248510.36,302230.22,2.62
2016-10-27,6.24,6.28,6.27,6.21,124864.97,0.02,0.32,6.282,6.301,6.369,190743.29,251532.13,313149.23,1.12
2016-10-26,6.26,6.3,6.25,6.21,198212.45,-0.03,-0.48,6.296,6.304,6.379,210070.16,265215.71,327456.05,1.78
2016-10-25,6.31,6.31,6.28,6.22,180171.48,-0.04,-0.63,6.332,6.305,6.39,263455.38,293725.56,351317.48,1.61
2016-10-24,6.32,6.39,6.32,6.25,238644.23,0.03,0.48,6.342,6.314,6.39,293430.04,298345.42,359413.8,2.14
2016-10-21,6.33,6.36,6.29,6.25,211823.33,-0.05,-0.79,6.316,6.314,6.386,290276.75,309915.26,364548.08,1.9
2016-10-20,6.4,6.42,6.34,6.33,221499.31,-0.09,-1.4,6.32,6.323,6.383,312320.98,327779.09,376415.88,1.99
2016-10-19,6.36,6.47,6.43,6.34,465138.53,0.1,1.58,6.312,6.322,6.385,320361.26,343458.0,423916.14,4.17
2016-10-18,6.18,6.42,6.33,6.18,330044.81,0.14,2.26,6.278,6.339,6.368,323995.74,326732.78,435935.77,2.96
2016-10-17,6.3,6.3,6.19,6.18,222877.77,-0.12,-1.9,6.286,6.363,6.352,303260.79,329152.98,428815.06,2.0
2016-10-14,6.35,6.39,6.31,6.26,322044.47,0.01,0.16,6.312,6.409,6.347,329553.76,355950.07,435279.41,2.89
2016-10-13,6.21,6.3,6.3,6.17,261700.7,0.04,0.64,6.326,6.436,6.332,343237.21,374766.32,428219.95,2.35
2016-10-12,6.36,6.36,6.26,6.15,483310.97,-0.11,-1.73,6.332,6.454,6.314,366554.73,389696.4,420302.31,4.33
2016-10-11,6.32,6.37,6.37,6.29,226370.05,0.05,0.79,6.4,6.475,6.295,329469.81,408909.4,400772.36,2.03
2016-10-10,6.4,6.42,6.32,6.19,354342.62,-0.06,-0.94,6.44,6.465,6.27,355045.17,420482.18,397895.39,3.18
2016-09-30,6.34,6.42,6.38,6.22,390461.69,0.05,0.79,6.506,6.458,6.251,382346.37,419180.91,386263.01,3.5
2016-09-29,6.59,6.65,6.33,6.32,378288.34,-0.27,-4.09,6.546,6.442,6.231,406295.44,425052.67,376149.19,3.39
2016-09-28,6.55,6.66,6.6,6.47,297886.34,0.03,0.46,6.576,6.448,6.216,412838.07,504374.28,363897.18,2.67
2016-09-27,6.52,6.65,6.57,6.41,354246.88,-0.08,-1.2,6.55,6.397,6.19,488349.0,545138.77,358570.95,3.18
2016-09-26,6.69,6.7,6.65,6.43,490848.62,0.07,1.06,6.49,6.341,6.166,485919.19,528477.15,360371.96,4.4
2016-09-23,6.45,6.65,6.58,6.42,510207.03,0.1,1.54,6.41,6.285,6.132,456015.45,514608.76,349107.92,4.57
2016-09-22,6.52,6.56,6.48,6.39,411001.47,0.01,0.15,6.338,6.227,6.107,443809.89,481673.58,343865.4,3.68
2016-09-21,6.21,6.53,6.47,6.21,675441.0,0.2,3.19,6.32,6.173,6.083,595910.49,450908.22,331548.39,6.05
2016-09-20,6.26,6.27,6.27,6.12,342097.84,0.02,0.32,6.244,6.115,6.058,601928.53,392635.32,306637.77,3.07
2016-09-19,6.2,6.33,6.25,6.2,341329.91,0.03,0.48,6.192,6.075,6.046,571035.1,375308.59,297611.73,3.06
2016-09-14,6.37,6.37,6.22,6.16,449179.22,-0.17,-2.66,6.16,6.044,6.036,573202.07,353345.1,289352.0,4.03
2016-09-13,6.14,6.6,6.39,6.09,1171504.5,0.3,4.93,6.116,6.019,6.03,519537.28,327245.71,277976.67,10.5
2016-09-12,5.95,6.26,6.09,5.95,705531.19,0.08,1.33,6.026,5.983,6.013,305905.95,223420.09,232480.99,6.32
2016-09-09,6.05,6.11,6.01,6.0,187630.69,-0.08,-1.31,5.986,5.982,6.011,183342.11,172003.13,213150.47,1.68
2016-09-08,6.01,6.15,6.09,5.95,352164.75,0.09,1.5,5.958,5.991,6.006,179582.08,192266.77,210678.15,3.16
